X,Y,Degree
2,716,3
3,716,3
4,103,3
4,566,3
5,6,3
4,319,3
4,426,3
5,660,3
5,718,3
5,800,3
6,92,3
7,479,3
8,230,3
8,247,3
7,680,3
8,820,3
9,733,3
9,394,3
11,27,3
11,65,3
11,721,3
11,733,3
12,727,3
12,734,3
14,41,3
14,505,3
14,702,3
15,537,3
15,680,3
16,161,3
16,165,3
16,505,3
15,695,3
17,359,3
17,480,3
17,537,3
17,708,3
17,710,3
19,784,3
20,234,3
20,275,3
20,761,3
21,244,3
21,364,3
23,172,3
23,194,3
22,670,3
23,711,4
23,712,3
24,711,3
24,761,3
26,715,3
26,770,3
27,579,3
27,587,3
29,697,3
30,365,3
31,420,3
31,527,3
32,125,3
33,669,3
33,800,3
33,806,3
35,116,3
35,141,3
36,421,3
36,509,3
37,549,3
37,771,3
38,195,3
38,509,3
39,531,3
40,293,3
39,561,3
43,171,3
43,485,3
43,820,3
44,320,3
43,463,3
44,695,3
45,372,3
45,440,3
45,493,3
47,151,3
48,622,3
48,782,3
48,787,3
49,313,3
49,599,3
51,22,3
52,284,3
54,659,3
55,368,3
55,561,3
55,644,3
55,762,3
56,185,3
56,299,3
57,418,3
56,726,3
58,307,3
58,313,3
58,495,3
59,273,3
60,256,3
60,309,3
61,811,3
62,7,3
62,54,3
62,563,3
62,768,3
62,811,3
63,563,3
65,307,3
66,88,3
66,413,3
67,7,3
67,586,3
68,602,3
69,102,3
69,325,3
69,628,3
70,55,3
70,603,3
71,307,3
73,148,3
72,210,3
74,671,3
74,622,3
76,298,3
77,111,3
79,587,3
80,459,3
80,621,3
83,152,3
83,709,3
83,710,3
84,28,3
84,282,3
84,417,3
84,709,3
84,710,3
86,282,3
86,346,3
86,774,3
87,750,3
88,666,3
87,715,3
88,737,3
90,54,3
90,401,3
90,809,3
91,54,3
91,55,3
91,797,3
92,47,3
91,56,3
92,522,3
92,523,3
93,212,3
94,505,3
94,514,3
95,494,3
95,540,3
95,564,3
95,216,3
97,646,3
99,190,3
99,193,3
100,717,3
101,451,3
101,587,3
102,142,3
102,680,3
102,136,3
103,351,3
103,367,3
103,366,3
104,11,3
104,153,3
104,821,3
105,54,3
105,537,3
107,269,3
107,273,3
106,457,3
108,91,3
111,292,3
111,629,3
111,632,3
112,283,3
113,343,3
113,628,3
114,614,3
115,92,3
115,118,3
116,33,3
116,413,3
116,112,3
119,17,3
119,33,3
119,411,3
120,135,3
120,400,3
120,793,3
122,541,3
124,280,3
125,478,3
126,731,3
127,472,3
129,786,3
130,304,3
132,230,3
132,711,3
132,821,3
133,112,3
133,216,3
133,395,3
135,502,3
135,517,3
135,531,3
136,709,3
137,609,3
138,72,3
138,180,3
139,148,3
140,59,3
140,813,3
142,535,3
142,583,3
143,9,3
143,183,3
143,216,3
144,167,3
144,709,3
144,133,3
146,331,3
146,771,3
146,773,3
149,400,3
150,256,3
150,610,3
150,611,3
151,47,3
151,169,3
151,712,3
151,722,3
152,266,3
152,582,3
153,433,3
154,86,3
154,182,3
154,651,3
154,653,3
155,17,3
155,27,3
155,470,3
156,47,3
157,426,3
158,492,3
158,622,3
158,729,3
159,250,3
158,480,3
161,237,3
160,450,3
161,499,3
161,513,3
162,636,3
162,780,3
163,780,3
164,306,3
165,92,3
165,131,3
164,339,3
165,567,3
166,164,3
166,339,3
166,364,3
166,193,3
167,629,3
167,636,3
167,646,3
167,34,3
168,74,3
170,96,3
170,566,3
171,133,3
172,237,3
172,364,3
172,706,3
173,63,3
173,553,3
174,114,3
174,808,3
175,308,3
175,791,3
176,315,3
177,98,3
177,376,3
178,425,3
178,479,3
179,132,3
179,809,3
180,347,3
180,349,3
180,494,3
180,552,3
180,656,3
180,665,3
180,782,3
180,788,3
180,809,3
181,427,3
181,547,3
181,688,3
181,723,3
182,247,3
182,255,3
182,432,3
182,450,3
182,458,3
181,487,3
182,698,3
182,434,3
183,444,3
184,98,3
184,270,3
185,61,3
185,266,3
185,668,3
185,759,3
187,194,3
187,198,3
187,422,3
186,765,3
189,19,3
189,41,3
188,86,3
189,724,3
190,322,3
191,46,3
191,59,3
191,444,3
193,442,3
193,521,3
194,105,3
194,571,3
194,290,3
196,352,3
196,393,3
196,518,3
197,124,3
197,129,3
197,532,3
197,536,3
198,516,3
199,600,3
201,14,3
201,247,3
202,318,3
202,317,3
202,668,3
202,316,3
203,316,3
203,764,3
204,290,3
205,211,3
204,372,3
205,510,3
206,283,3
206,288,3
206,464,3
206,603,3
206,731,3
207,428,3
207,663,3
208,43,3
208,124,3
208,574,3
208,576,3
209,51,3
209,53,3
210,144,3
210,730,3
210,757,3
212,554,3
212,744,3
212,751,3
213,251,3
213,291,3
213,492,3
212,749,3
213,751,3
213,784,3
214,159,3
214,333,3
214,750,3
215,291,3
215,685,3
216,164,3
