frame,0.0-5.0,5.0-10.0,10.0-15.0,15.0-20.0,20.0-25.0,25.0-30.0,30.0-35.0,35.0-40.0,40.0-45.0,45.0-50.0,50.0-55.0,55.0-60.0,60.0-65.0,65.0-70.0,70.0-75.0,75.0-80.0,80.0-85.0,85.0-90.0,90.0-95.0,95.0-100.0,100.0-105.0,105.0-110.0,110.0-115.0,115.0-120.0,120.0-125.0,125.0-130.0,130.0-135.0,135.0-140.0,140.0-145.0,145.0-150.0,150.0-155.0,155.0-160.0,160.0-165.0,165.0-170.0,170.0-175.0,175.0-180.0
1,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1,2,2,0,0,0,1,2,0,2,2,0,3,0,1,1,1,2,1,2,0,3
6,2,3,0,0,0,2,0,1,1,1,3,1,0,0,1,1,2,2,1,2,1,1,1,5,1,0,1,0,1,1,0,0,0,1,1,0
11,0,1,4,1,0,2,2,3,1,0,0,1,1,0,2,3,2,0,3,0,1,1,2,1,1,1,3,1,0,1,3,1,1,2,1,1
16,2,2,0,0,0,1,0,1,2,1,2,2,1,0,2,2,1,2,1,0,3,0,2,0,1,2,0,1,1,1,2,1,1,1,1,1
21,1,1,3,0,0,2,1,1,2,0,3,1,0,1,0,1,1,0,3,2,0,0,0,1,1,1,0,0,1,1,2,1,1,2,0,2
26,0,0,2,1,1,0,1,0,1,1,1,2,2,0,0,1,1,0,1,2,5,1,1,1,1,1,0,0,2,0,1,1,2,2,0,1
31,0,0,0,0,1,1,2,1,1,1,1,0,0,2,2,1,1,1,1,2,1,3,0,1,1,0,2,1,1,1,2,0,3,0,1,2
36,2,0,1,1,1,2,0,1,0,1,2,2,1,0,3,3,3,1,0,1,0,2,1,0,2,0,0,1,1,2,1,0,0,3,0,1
41,0,1,1,0,0,0,3,0,1,1,3,0,1,0,0,1,0,0,3,1,3,1,0,2,1,0,1,1,0,3,0,3,1,0,1,1
46,0,1,2,0,1,1,2,0,0,0,2,3,1,0,0,0,1,1,0,2,3,2,1,0,2,2,1,0,1,1,1,5,3,1,0,3
51,3,0,0,0,0,0,2,0,1,1,0,0,1,0,0,2,1,1,1,3,3,1,1,1,2,1,1,1,0,0,2,0,3,2,0,2
56,0,2,1,0,1,0,0,0,1,0,0,2,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,2,1,2,0,1,0,2,1
61,5,2,0,0,1,2,0,1,2,1,0,0,0,0,0,3,1,0,0,3,2,0,2,2,0,1,1,4,0,1,1,1,0,1,0,1
66,0,2,2,1,1,1,0,0,2,0,1,1,0,0,1,1,0,1,2,1,3,1,0,3,0,1,1,1,0,1,1,1,1,2,3,1
71,2,2,1,1,1,0,1,0,2,0,2,2,1,0,1,3,2,1,3,2,0,3,1,0,0,0,2,1,0,2,2,2,2,1,1,0
76,3,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,2,2,0,2,3,1,1,0,0,1,1,0,0,0,3,2,1,0,2
81,0,0,2,0,0,0,0,1,1,0,1,2,0,1,1,1,1,0,2,1,0,2,2,1,0,1,1,1,0,0,1,1,3,3,1,2
86,2,3,1,0,0,2,0,0,1,2,2,0,0,0,2,0,2,1,2,2,2,2,1,0,1,2,2,1,4,0,2,0,1,0,1,0
91,1,1,0,1,0,1,1,3,0,1,0,0,1,0,1,1,1,0,2,1,0,0,1,0,1,0,0,1,0,2,2,1,0,0,1,1
96,0,2,1,0,1,0,1,2,0,1,0,2,3,2,0,0,2,0,2,2,2,0,1,0,2,1,2,0,2,2,2,0,1,0,1,3
101,3,1,0,0,1,1,0,2,0,0,0,2,0,0,0,2,1,0,1,1,1,2,0,1,1,0,1,0,0,0,1,3,0,1,1,0
106,3,1,0,3,0,0,3,1,1,0,1,2,0,1,1,2,0,1,2,2,2,1,3,0,0,1,1,2,1,4,3,0,0,0,2,3
111,2,0,2,2,0,1,2,1,1,1,1,1,0,0,0,1,3,2,1,1,1,2,1,1,1,0,0,1,1,1,1,2,0,1,1,1
116,2,2,0,1,0,2,0,0,1,0,2,0,2,0,1,0,3,0,3,2,1,1,0,1,1,0,2,1,0,0,3,1,0,0,0,1
121,0,3,0,1,0,1,0,1,0,2,0,2,0,1,0,4,0,0,1,2,1,1,3,1,1,0,1,0,0,1,1,0,0,2,3,0
126,1,1,1,1,1,2,0,1,1,0,1,0,1,1,2,1,0,0,0,1,3,0,1,1,0,0,2,1,0,3,2,0,3,2,5,0
131,0,3,1,1,0,0,1,0,3,2,1,0,2,0,1,1,1,2,1,1,2,1,3,0,0,0,2,1,0,1,2,2,1,1,1,1
136,2,1,1,1,0,1,0,0,1,1,1,1,1,0,1,3,0,0,0,0,0,3,1,2,1,0,0,1,0,1,1,2,2,0,2,1
141,3,3,0,0,0,0,1,0,2,0,2,0,0,0,1,0,2,1,1,1,1,0,3,1,0,0,0,0,0,2,2,1,0,1,0,2
146,1,4,0,0,1,0,3,3,0,2,0,0,1,0,1,1,1,1,2,2,0,1,2,0,1,1,1,0,0,1,2,1,1,1,1,1
151,2,2,1,1,1,0,1,4,1,0,1,1,1,2,0,2,2,1,3,1,1,0,2,0,1,1,2,0,1,0,2,0,2,0,1,0
156,4,2,3,1,0,1,1,0,0,1,2,0,1,1,3,1,1,1,2,1,0,3,2,0,1,0,0,1,2,2,0,2,3,1,2,1
161,1,2,1,0,1,0,2,0,0,1,1,0,1,0,1,2,0,1,1,3,1,2,1,0,0,1,0,2,2,2,1,2,0,0,0,2
166,1,1,1,0,0,1,1,0,1,1,2,2,0,0,3,3,1,0,2,1,0,2,2,0,3,1,1,2,1,1,1,2,2,1,1,2
171,3,0,2,0,1,0,1,0,1,0,2,4,3,0,0,0,1,0,2,2,0,0,0,0,3,1,1,1,0,2,1,1,1,0,0,0
176,1,4,1,1,0,1,0,1,2,0,2,0,0,1,1,1,0,2,0,1,4,2,0,2,1,0,0,0,0,0,1,2,4,0,0,1
181,3,2,0,1,1,0,1,0,2,2,1,1,3,0,1,1,1,0,2,2,0,0,0,1,2,0,1,3,0,1,0,3,0,1,1,0
186,2,2,0,0,2,1,1,2,1,0,0,0,3,0,1,1,3,1,2,0,2,1,1,1,1,1,1,0,1,1,2,0,1,0,1,1
191,2,0,0,0,0,1,0,0,1,3,1,0,1,0,0,2,1,1,3,1,2,0,0,0,0,1,4,0,1,1,1,0,2,0,2,2
196,1,1,1,1,1,1,0,1,0,0,1,2,1,1,0,1,0,0,0,0,2,3,0,1,1,0,0,1,2,4,0,1,4,2,1,0
201,2,4,2,0,1,0,0,0,1,1,1,1,0,1,0,0,4,0,4,0,1,0,0,2,1,1,1,1,1,1,2,0,0,1,1,2
206,1,1,0,0,2,0,1,0,1,0,0,3,1,0,0,0,2,1,0,1,1,1,0,1,1,1,0,0,1,2,0,1,1,0,2,0
211,2,3,0,2,2,0,1,1,0,0,1,1,1,1,1,0,2,1,3,0,1,1,2,0,0,1,1,1,1,2,2,0,0,1,1,1
216,0,2,0,1,1,1,1,0,2,0,2,0,2,0,2,0,1,2,0,0,4,0,0,0,0,0,1,0,2,1,1,1,1,2,0,0
221,1,0,3,0,0,1,0,1,0,1,1,3,1,1,1,1,3,3,2,0,2,1,0,2,3,1,2,0,0,1,1,4,1,0,3,0
226,1,1,0,2,1,1,1,1,0,1,1,1,1,0,1,1,1,1,4,2,2,0,3,1,1,2,0,0,1,2,1,0,0,3,1,0
231,1,3,1,1,0,2,0,1,0,0,0,2,1,2,2,1,3,1,0,0,3,2,2,0,2,0,1,0,1,1,1,0,1,1,1,1
236,3,1,1,1,0,0,1,0,0,1,0,2,0,1,0,1,0,4,1,1,0,2,0,1,1,0,0,1,2,2,1,0,1,2,0,2
241,0,0,1,2,0,2,1,1,1,0,0,0,0,2,1,1,2,1,1,0,2,2,2,2,0,2,0,0,2,2,1,1,0,2,0,0
246,0,2,2,1,0,0,0,2,0,0,1,1,0,2,0,1,0,3,1,3,2,1,0,1,3,0,0,1,2,2,2,1,1,4,1,0
251,0,2,2,1,1,0,2,0,0,0,1,1,3,0,0,0,2,3,1,1,1,2,2,0,1,1,0,2,1,1,0,0,0,1,1,0
256,2,5,1,2,0,0,1,0,2,0,0,4,0,0,0,0,2,2,2,0,2,1,0,1,0,2,1,0,1,3,1,1,0,0,1,0
261,2,5,1,0,0,0,1,1,1,0,0,0,0,1,4,0,0,2,1,3,0,1,1,1,0,0,1,1,2,1,1,0,1,0,3,0
266,3,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,2,3,2,0,0,0,1,0,0,0,1,0,1,3,0,0,0,3,0
271,4,0,2,1,1,0,3,0,0,1,1,0,1,1,1,1,1,1,2,2,1,1,2,1,1,2,3,1,3,1,2,0,0,0,1,1
276,1,1,1,0,0,1,0,1,1,0,1,1,2,2,0,0,4,0,1,1,1,2,2,0,2,0,1,0,1,3,1,1,0,0,1,0
281,5,1,1,0,1,1,0,0,0,2,0,1,1,1,1,2,1,2,1,0,2,3,1,0,1,1,1,2,2,1,2,0,3,2,1,0
286,0,2,1,0,0,0,0,2,0,0,1,1,1,2,1,1,3,0,1,0,0,0,0,0,1,1,1,1,1,2,1,2,1,2,2,0
291,1,0,0,0,0,2,0,0,1,0,0,2,1,0,1,2,3,0,2,1,0,1,3,0,2,2,0,1,0,1,0,4,0,1,2,2
296,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,3,1,0,0,0,1,0,1,2,1,3,0,1,1,1,0,1,3,1
301,2,1,2,1,0,0,2,0,1,0,0,1,1,1,1,1,0,4,0,0,2,1,2,1,2,2,2,1,3,2,1,0,3,0,1,0
306,3,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,2,2,1,2,0,1,1,1,2,0,2,1,0,0,1,2,1,1,1,0
311,1,0,2,0,1,1,0,1,0,1,1,0,2,2,1,1,1,2,1,0,2,1,1,1,2,2,0,0,2,0,2,0,1,2,1,1
316,3,2,0,0,0,1,0,1,2,0,1,0,1,1,1,0,1,2,1,1,2,0,1,0,2,0,1,2,2,0,1,2,1,0,0,1
321,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,4,0,1,3,3,1,1,0,1,1,1,1,2,3,2,1,2,0,0,1
326,1,2,0,0,1,0,2,0,0,0,0,1,2,2,0,3,0,1,0,1,0,0,3,2,1,1,0,1,0,1,4,1,2,1,0,0
331,0,0,1,0,1,0,3,0,1,1,2,1,1,1,0,0,2,0,2,0,2,0,1,1,1,2,2,3,2,2,2,2,1,0,1,1
336,2,0,2,0,0,1,0,1,0,1,2,0,4,0,0,1,2,1,3,0,1,1,0,3,1,2,0,1,1,4,1,0,2,2,4,2
341,0,0,1,0,1,0,2,1,0,1,0,1,1,2,0,2,2,2,0,0,1,0,2,1,4,0,1,1,1,2,2,2,0,0,3,1
346,0,1,0,1,0,0,2,1,0,3,0,3,2,2,1,0,1,2,1,2,1,1,1,1,1,1,2,1,1,0,0,2,2,0,2,1
351,1,3,1,1,1,0,0,3,1,0,1,2,2,0,0,0,2,3,0,0,1,2,1,4,1,0,0,2,2,3,1,3,1,1,2,1
356,0,1,1,3,0,1,2,0,1,0,1,4,0,1,0,4,1,2,1,0,1,1,0,2,0,0,2,0,0,1,3,1,0,1,1,2
361,1,0,2,1,4,2,0,1,0,0,1,0,2,1,0,1,2,1,2,1,1,1,0,2,0,0,2,1,2,3,2,2,0,1,0,1
366,2,0,1,2,0,2,1,0,2,1,0,1,1,2,3,0,1,2,2,1,3,1,1,2,1,0,0,1,1,1,0,1,1,3,0,1
371,1,2,1,1,1,1,5,0,0,1,1,0,1,3,0,0,0,1,0,0,2,1,0,2,2,2,0,0,0,2,2,1,1,1,0,1
376,1,0,0,1,3,1,3,2,0,1,1,1,0,1,0,1,1,1,1,2,0,0,0,4,3,1,0,2,3,1,1,3,1,2,1,2
381,1,0,0,0,0,2,1,2,1,0,1,1,2,0,2,1,4,2,1,3,0,0,1,3,1,1,1,0,1,2,0,0,3,1,4,1
386,0,2,0,0,3,0,2,0,0,0,0,0,0,2,2,0,3,1,0,1,0,1,0,1,2,0,1,2,2,3,0,1,1,0,0,1
391,1,0,2,0,0,2,1,0,0,1,0,1,1,0,3,2,1,1,5,0,4,1,0,1,2,0,0,1,1,4,1,1,0,2,0,5
396,1,1,1,0,1,0,0,3,1,2,0,0,1,0,1,1,2,1,0,1,2,1,1,1,1,0,0,0,2,3,2,1,0,2,2,0
