X,Y,Degree
315,160,3
296,268,3
540,627,3
118,346,3
292,683,3
667,560,3
549,115,3
384,624,3
631,501,3
106,254,3
658,178,3
435,493,3
418,250,3
298,378,3
151,107,3
137,30,3
630,492,3
620,153,3
281,687,3
414,688,3
27,175,3
262,580,3
432,237,3
352,473,3
3,298,3
4,74,3
272,463,3
723,520,3
506,485,3
470,603,3
454,79,3
492,191,3
481,569,3
463,677,3
400,328,3
507,575,3
295,691,3
296,692,4
579,270,3
625,579,3
620,359,3
369,186,3
72,199,3
190,197,3
471,21,3
456,450,3
490,443,3
10,520,3
272,88,3
166,228,3
182,173,4
181,173,3
463,347,3
114,239,3
443,455,3
681,403,3
257,606,3
357,255,3
218,97,3
602,663,3
129,554,3
275,378,3
67,616,3
610,148,3
307,452,3
356,389,3
39,682,3
361,509,3
393,204,3
667,566,3
723,443,3
407,588,3
98,368,3
459,346,3
297,427,3
613,8,3
480,193,3
359,23,3
467,496,3
467,495,3
487,254,3
636,153,3
536,148,3
638,198,3
180,260,3
495,270,3
641,446,3
507,632,3
215,230,3
198,637,3
306,169,3
515,692,3
131,477,3
138,242,3
209,652,3
676,304,3
534,197,3
507,623,3
576,624,3
329,105,3
346,625,3
42,623,3
220,342,3
195,61,3
225,61,3
178,19,3
204,123,3
195,194,3
325,15,3
357,87,3
620,544,3
543,72,3
507,392,3
50,525,3
297,329,3
129,565,3
613,387,3
617,504,3
164,283,3
646,639,3
467,69,3
545,184,3
307,548,3
94,440,3
242,85,3
631,240,3
602,666,3
317,79,3
471,322,3
672,93,3
485,14,3
361,513,3
582,333,3
575,42,3
292,103,3
609,338,3
668,390,3
221,303,3
134,455,3
14,539,3
374,293,3
374,294,3
375,293,3
375,294,3
511,339,3
87,11,3
354,400,3
418,125,3
225,304,3
240,247,3
319,676,3
707,383,3
89,675,3
289,399,3
421,327,3
572,270,3
36,640,3
181,285,3
540,680,3
607,285,3
544,651,3
82,190,3
78,605,3
664,297,3
542,308,3
481,32,3
96,325,3
239,632,3
629,388,3
661,109,3
568,269,3
215,532,3
253,644,3
225,65,3
96,593,3
660,342,3
87,479,3
256,666,3
256,665,3
255,666,3
255,665,3
61,199,3
230,205,3
530,244,3
340,678,3
89,502,3
632,497,3
441,148,3
265,636,3
163,407,3
424,338,3
190,61,3
384,688,3
573,186,3
106,467,3
431,78,3
152,663,3
487,136,3
34,12,3
293,427,3
192,197,3
372,492,3
719,41,3
347,209,3
459,450,3
208,626,3
601,148,3
652,40,3
155,523,3
470,534,3
301,169,3
436,370,3
436,371,4
435,371,3
205,594,3
541,141,3
707,252,3
570,669,3
545,618,3
700,629,3
523,404,3
201,464,3
267,599,3
3,302,3
611,687,3
68,137,3
697,692,3
371,117,3
641,132,3
238,503,3
476,200,3
556,493,3
622,627,3
226,626,3
636,459,3
328,463,3
605,690,3
653,582,3
45,475,3
435,659,3
217,27,3
546,244,3
257,670,3
560,300,3
222,230,3
678,631,3
333,569,3
333,568,3
334,569,3
334,568,3
213,124,3
286,124,3
415,355,3
615,237,3
655,529,3
343,10,3
19,489,3
657,372,3
219,146,3
96,89,3
554,603,3
504,39,3
648,392,3
56,110,3
209,99,3
347,235,3
676,235,3
40,150,3
356,431,3
430,129,3
254,437,3
648,340,3
287,109,3
501,447,3
531,515,3
695,515,3
485,454,3
137,120,3
9,649,3
323,661,3
610,465,3
512,532,3
445,24,3
58,85,3
209,255,3
645,255,3
606,301,3
654,317,3
233,671,3
309,621,3
203,46,3
547,458,3
436,350,3
643,47,3
86,130,3
80,314,3
503,418,3
597,51,3
4,140,3
479,405,3
582,458,4
582,459,3
343,292,3
449,131,3
486,422,3
425,304,3
119,635,3
129,168,3
129,169,3
254,101,3
190,421,3
723,511,3
451,175,3
565,51,3
403,483,3
549,308,3
260,556,3
414,16,3
462,669,3
140,342,3
84,218,3
725,212,3
281,172,3
256,49,3
364,249,3
658,549,3
335,271,3
220,97,3
483,143,3
445,564,3
105,632,3
594,458,3
292,411,3
722,347,3
350,366,3
447,73,3
611,140,3
213,27,3
59,136,3
668,377,3
433,636,3
137,287,3
125,195,3
658,657,3
260,546,3
344,93,3
286,89,3
76,414,3
254,686,3
683,45,3
257,356,3
26,581,3
260,76,3
547,639,3
244,205,3
721,591,3
297,373,3
515,498,3
78,272,3
554,610,3
545,272,3
376,346,3
242,18,3
662,672,3
431,486,3
689,373,3
378,56,3
120,401,3
308,635,3
168,596,3
659,581,3
327,253,3
178,129,3
480,466,3
481,466,3
563,478,3
521,601,3
154,28,3
125,48,3
355,260,3
534,203,3
324,394,3
379,628,3
600,224,3
142,636,3
673,122,3
240,240,3
240,239,3
445,420,3
96,87,3
252,375,3
96,549,3
96,548,3
37,102,3
207,560,3
394,160,3
107,104,3
599,341,3
348,167,3
391,624,3
548,48,3
32,288,3
82,181,3
101,356,3
56,250,3
46,471,3
610,582,3
620,184,3
45,23,3
580,3,3
617,646,3
443,420,3
172,558,3
188,435,3
440,507,3
25,266,3
552,159,3
193,226,3
78,96,3
319,688,3
45,461,3
515,508,3
352,114,3
419,247,3
474,305,3
415,664,3
311,134,3
613,248,3
524,331,3
161,629,3
219,455,3
644,45,3
230,212,3
417,569,3
277,88,3
583,545,3
27,99,3
47,387,3
250,492,3
97,629,3
207,392,3
694,510,3
395,218,3
32,166,3
188,679,3
187,454,3
178,36,3
705,90,3
704,394,3
181,593,3
359,239,3
74,481,3
330,71,3
519,143,3
496,667,3
717,442,3
701,669,3
415,238,3
438,570,3
546,513,3
472,341,3
312,59,3
693,135,3
450,305,3
580,7,3
198,619,3
135,429,3
206,78,3
373,40,3
330,568,3
704,377,3
715,692,3
444,51,3
203,292,3
86,117,3
102,591,3
708,585,3
455,112,3
27,247,3
234,472,3
640,198,3
306,608,3
711,206,3
406,509,3
313,623,3
708,398,3
637,168,3
170,650,3
425,542,3
664,606,3
7,605,3
399,81,3
434,605,3
507,553,3
515,392,3
93,243,3
457,428,3
245,593,3
585,587,3
585,586,3
145,361,3
486,429,3
611,317,3
39,22,3
353,35,3
717,133,3
402,276,3
424,34,3
649,683,3
572,619,3
625,676,3
451,273,3
132,118,3
357,235,3
599,118,3
617,294,3
75,319,3
535,417,3
523,257,3
316,539,3
418,591,3
276,136,3
97,392,3
458,193,3
379,85,3
543,680,3
269,455,3
485,382,3
669,297,3
297,690,3
707,336,3
521,257,3
198,617,3
173,333,3
369,44,3
705,680,3
310,59,3
413,7,3
339,260,3
580,210,3
505,564,3
565,58,3
202,539,3
181,602,3
632,80,3
300,199,3
182,280,3
274,578,3
250,343,3
388,688,3
77,599,3
123,677,3
521,270,3
668,94,3
666,94,3
666,95,3
441,110,3
329,583,3
646,415,3
270,136,3
683,81,3
681,81,3
593,10,3
277,637,3
541,459,3
309,593,3
221,259,3
40,552,3
220,629,3
158,461,3
319,4,3
61,350,3
339,406,3
7,426,3
61,662,3
344,197,3
512,355,3
66,23,3
608,376,3
682,147,3
541,263,3
695,505,3
619,260,3
116,48,3
282,466,3
679,511,3
198,588,3
7,239,3
323,71,3
622,110,3
67,14,3
566,314,3
79,46,3
33,200,3
33,201,3
34,200,3
34,201,3
71,493,3
348,212,3
62,200,3
130,518,3
33,334,3
274,396,3
341,464,3
244,531,3
145,345,3
410,240,3
639,628,3
613,346,3
227,310,3
338,423,3
663,194,3
696,492,3
510,485,3
32,281,3
336,416,3
577,477,3
83,478,3
355,11,3
79,89,3
323,450,3
474,618,3
619,316,3
116,635,3
63,443,3
475,162,3
144,317,3
428,122,3
71,415,3
44,662,3
303,549,3
668,648,3
16,314,3
489,307,3
480,196,3
297,689,3
242,155,3
468,319,3
325,212,3
562,464,3
211,13,3
556,583,3
258,187,3
557,254,3
634,249,3
474,14,3
722,605,3
672,312,3
648,329,3
136,458,3
270,540,3
177,79,3
316,394,3
45,465,3
396,241,3
544,669,3
219,503,3
290,683,3
279,326,3
598,633,3
66,566,3
539,160,3
560,634,3
168,461,3
703,577,3
236,300,3
495,6,3
499,74,3
665,143,3
463,678,3
227,534,3
625,581,3
39,230,3
530,694,3
370,596,3
151,673,3
159,535,3
611,406,3
434,365,3
559,74,3
167,505,3
257,623,3
726,94,3
153,398,3
582,696,3
697,90,3
530,280,3
180,10,3
510,524,3
550,256,3
237,178,3
435,543,3
180,29,3
185,372,3
640,74,3
167,615,3
439,215,3
460,86,3
267,242,3
557,227,3
605,28,3
50,230,3
336,33,3
57,128,3
190,656,3
601,348,3
77,502,3
224,499,3
403,93,3
63,376,3
220,335,3
420,125,3
629,466,3
657,240,3
85,378,3
376,85,3
425,328,3
211,221,3
356,170,3
133,233,3
460,23,3
138,240,3
311,168,3
504,338,3
62,252,3
606,657,3
69,223,3
424,44,3
566,225,3
407,353,3
645,652,3
396,469,3
103,327,3
375,574,3
72,319,3
711,201,3
354,450,3
143,362,3
164,71,3
541,134,3
374,596,3
546,611,3
303,274,3
184,58,3
459,115,3
19,328,3
679,195,3
345,96,3
643,170,3
254,187,3
629,474,3
615,551,3
494,382,3
188,685,3
126,67,3
213,532,3
544,535,3
280,237,3
228,610,3
528,314,3
91,498,3
448,64,3
544,340,3
259,580,3
352,653,3
164,372,3
187,542,3
354,653,3
559,559,3
593,483,3
333,662,3
129,391,3
428,409,3
548,256,3
648,143,3
30,175,3
161,228,3
28,411,3
436,237,3
418,256,3
81,686,3
617,666,3
157,681,3
207,394,3
593,518,3
190,175,3
331,196,3
594,628,3
244,528,3
131,471,3
465,279,3
9,639,3
227,537,3
576,133,3
703,579,3
720,17,3
47,452,3
178,505,3
455,516,3
486,537,3
406,19,3
170,615,3
695,166,3
297,276,3
296,276,3
22,73,3
382,51,3
599,590,3
139,426,3
664,180,3
697,478,3
143,629,3
353,623,3
290,275,3
310,450,3
572,606,3
156,140,3
115,346,3
338,255,3
270,98,3
641,391,3
527,289,3
257,221,3
267,325,3
318,152,3
680,667,3
182,174,3
183,174,3
181,174,3
601,507,3
644,180,3
357,123,3
469,184,3
719,308,3
521,608,3
10,104,3
474,522,3
450,286,3
426,50,3
553,584,3
203,362,3
211,379,3
180,262,3
580,330,3
109,147,3
202,652,3
446,231,3
664,309,3
713,485,3
5,398,3
667,490,3
466,516,3
261,240,3
233,420,3
588,545,3
573,621,3
556,17,3
244,690,3
622,612,3
466,234,3
125,542,3
253,431,3
674,437,3
472,62,3
705,571,3
14,180,3
297,275,3
569,291,3
459,462,3
528,417,3
369,545,3
440,195,3
5,16,3
234,478,3
478,32,3
334,567,3
317,168,3
550,123,3
716,190,3
407,328,3
575,396,3
583,458,3
575,531,3
245,597,3
239,29,3
650,24,3
666,603,3
421,17,3
563,467,3
678,418,3
25,145,3
502,257,3
329,100,3
580,322,3
182,588,3
675,343,3
273,661,3
369,93,3
23,396,3
32,411,3
45,102,3
5,451,3
334,689,3
487,529,3
246,375,3
237,85,3
706,311,3
530,39,3
130,106,3
658,225,3
353,528,3
234,178,3
720,298,3
397,381,3
585,88,3
414,413,3
29,281,3
624,170,3
165,535,3
235,96,3
366,372,3
524,324,3
156,99,3
285,464,3
414,353,3
155,24,3
398,547,3
7,583,3
455,114,3
309,623,3
242,690,3
397,173,3
364,538,3
644,42,3
128,8,3
585,589,3
463,69,3
102,441,3
381,384,3
484,267,3
23,140,3
289,7,3
394,163,3
109,152,3
10,523,3
346,630,3
548,533,3
383,601,3
159,206,3
253,183,3
655,296,3
486,345,3
666,648,3
266,258,3
327,35,3
29,353,3
5,49,3
410,664,3
478,618,3
322,521,3
353,374,3
99,257,3
108,632,3
97,202,3
654,76,3
24,693,3
473,518,3
334,107,3
557,225,3
136,292,3
606,10,3
209,464,3
489,311,3
301,672,3
170,575,3
397,552,3
648,606,3
633,475,3
11,265,3
534,21,3
689,165,3
416,233,3
272,34,3
601,467,3
